country,startIP,endIP,startIpNum,endIpNum
BR,131.100.216.0,131.100.219.255,2204424192,2204425215
BR,131.100.220.0,131.100.223.255,2204425216,2204426239
BR,131.100.224.0,131.100.227.255,2204426240,2204427263
BR,131.100.228.0,131.100.231.255,2204427264,2204428287
BR,131.100.232.0,131.100.235.255,2204428288,2204429311
BR,131.100.236.0,131.100.239.255,2204429312,2204430335
BR,131.100.240.0,131.100.243.255,2204430336,2204431359
BR,131.100.244.0,131.100.247.255,2204431360,2204432383
BR,131.100.248.0,131.100.251.255,2204432384,2204433407
BR,131.100.252.0,131.100.255.255,2204433408,2204434431
AR,131.108.0.0,131.108.3.255,2204893184,2204894207
PA,131.108.4.0,131.108.7.255,2204894208,2204895231
BR,131.108.8.0,131.108.11.255,2204895232,2204896255
BR,131.108.12.0,131.108.15.255,2204896256,2204897279
HN,131.108.16.0,131.108.19.255,2204897280,2204898303
PA,131.108.20.0,131.108.23.255,2204898304,2204899327
BR,131.108.24.0,131.108.27.255,2204899328,2204900351
BR,131.108.28.0,131.108.31.255,2204900352,2204901375
BR,131.108.32.0,131.108.35.255,2204901376,2204902399
CR,131.108.36.0,131.108.39.255,2204902400,2204903423
AR,131.108.40.0,131.108.43.255,2204903424,2204904447
BR,131.108.44.0,131.108.47.255,2204904448,2204905471
BR,131.108.48.0,131.108.51.255,2204905472,2204906495
BR,131.108.52.0,131.108.55.255,2204906496,2204907519
BR,131.108.56.0,131.108.59.255,2204907520,2204908543
BR,131.108.60.0,131.108.63.255,2204908544,2204909567
BR,131.108.64.0,131.108.67.255,2204909568,2204910591
CL,131.108.68.0,131.108.71.255,2204910592,2204911615
BR,131.108.72.0,131.108.75.255,2204911616,2204912639
BR,131.108.76.0,131.108.79.255,2204912640,2204913663
AR,131.108.80.0,131.108.83.255,2204913664,2204914687
BR,131.108.84.0,131.108.87.255,2204914688,2204915711
BR,131.108.88.0,131.108.91.255,2204915712,2204916735
BR,131.108.92.0,131.108.95.255,2204916736,2204917759
BR,131.108.96.0,131.108.99.255,2204917760,2204918783
BR,131.108.100.0,131.108.103.255,2204918784,2204919807
BR,131.108.104.0,131.108.107.255,2204919808,2204920831
BR,131.108.108.0,131.108.111.255,2204920832,2204921855
BR,131.108.112.0,131.108.115.255,2204921856,2204922879
BR,131.108.116.0,131.108.119.255,2204922880,2204923903
BR,131.108.120.0,131.108.123.255,2204923904,2204924927
BR,131.108.124.0,131.108.127.255,2204924928,2204925951
BR,131.108.128.0,131.108.131.255,2204925952,2204926975
BR,131.108.132.0,131.108.135.255,2204926976,2204927999
BR,131.108.136.0,131.108.139.255,2204928000,2204929023
AR,131.108.140.0,131.108.143.255,2204929024,2204930047
BR,131.108.144.0,131.108.147.255,2204930048,2204931071
BR,131.108.148.0,131.108.151.255,2204931072,2204932095
BR,131.108.152.0,131.108.155.255,2204932096,2204933119
BR,131.108.156.0,131.108.159.255,2204933120,2204934143
BR,131.108.160.0,131.108.163.255,2204934144,2204935167
BR,131.108.164.0,131.108.167.255,2204935168,2204936191
CO,131.108.168.0,131.108.171.255,2204936192,2204937215
BR,131.108.172.0,131.108.175.255,2204937216,2204938239
BR,131.108.176.0,131.108.179.255,2204938240,2204939263
BR,131.108.180.0,131.108.183.255,2204939264,2204940287
BR,131.108.184.0,131.108.187.255,2204940288,2204941311
BR,131.108.188.0,131.108.191.255,2204941312,2204942335
PY,131.108.192.0,131.108.195.255,2204942336,2204943359
BR,131.108.196.0,131.108.199.255,2204943360,2204944383
BR,131.108.200.0,131.108.203.255,2204944384,2204945407
BR,131.108.204.0,131.108.207.255,2204945408,2204946431
CL,131.108.208.0,131.108.211.255,2204946432,2204947455
BR,131.108.212.0,131.108.215.255,2204947456,2204948479
BR,131.108.216.0,131.108.219.255,2204948480,2204949503
BR,131.108.220.0,131.108.223.255,2204949504,2204950527
BR,131.108.224.0,131.108.227.255,2204950528,2204951551
BR,131.108.228.0,131.108.231.255,2204951552,2204952575
HN,131.108.232.0,131.108.235.255,2204952576,2204953599
BR,131.108.236.0,131.108.239.255,2204953600,2204954623
BR,131.108.240.0,131.108.243.255,2204954624,2204955647
BR,131.108.244.0,131.108.247.255,2204955648,2204956671
BR,131.108.248.0,131.108.251.255,2204956672,2204957695
BR,131.108.252.0,131.108.255.255,2204957696,2204958719
BR,131.161.0.0,131.161.3.255,2208366592,2208367615
BR,131.161.4.0,131.161.7.255,2208367616,2208368639
BR,131.161.8.0,131.161.11.255,2208368640,2208369663
BR,131.161.12.0,131.161.15.255,2208369664,2208370687
BR,131.161.16.0,131.161.19.255,2208370688,2208371711
BR,131.161.20.0,131.161.23.255,2208371712,2208372735
BR,131.161.24.0,131.161.27.255,2208372736,2208373759
BR,131.161.28.0,131.161.31.255,2208373760,2208374783
BR,131.161.32.0,131.161.35.255,2208374784,2208375807
BR,131.161.36.0,131.161.39.255,2208375808,2208376831
BR,131.161.40.0,131.161.43.255,2208376832,2208377855
BR,131.161.44.0,131.161.47.255,2208377856,2208378879
BR,131.161.48.0,131.161.51.255,2208378880,2208379903
HN,131.161.52.0,131.161.55.255,2208379904,2208380927
CL,131.161.56.0,131.161.59.255,2208380928,2208381951
BR,131.161.60.0,131.161.63.255,2208381952,2208382975
BR,131.161.64.0,131.161.67.255,2208382976,2208383999
BR,131.161.68.0,131.161.71.255,2208384000,2208385023
BR,131.161.72.0,131.161.75.255,2208385024,2208386047
BR,131.161.76.0,131.161.79.255,2208386048,2208387071
HN,131.161.80.0,131.161.83.255,2208387072,2208388095
SX,131.161.84.0,131.161.87.255,2208388096,2208389119
AR,131.161.88.0,131.161.91.255,2208389120,2208390143
BR,131.161.92.0,131.161.95.255,2208390144,2208391167
BR,131.161.96.0,131.161.99.255,2208391168,2208392191
PE,131.161.100.0,131.161.103.255,2208392192,2208393215
BR,131.161.104.0,131.161.107.255,2208393216,2208394239
BR,131.161.108.0,131.161.111.255,2208394240,2208395263
BR,131.161.112.0,131.161.115.255,2208395264,2208396287
BR,131.161.116.0,131.161.119.255,2208396288,2208397311
BR,131.161.120.0,131.161.123.255,2208397312,2208398335
BR,131.161.124.0,131.161.127.255,2208398336,2208399359
BR,131.161.128.0,131.161.131.255,2208399360,2208400383
BR,131.161.132.0,131.161.135.255,2208400384,2208401407
BR,131.161.136.0,131.161.139.255,2208401408,2208402431
BR,131.161.140.0,131.161.143.255,2208402432,2208403455
BR,131.161.144.0,131.161.147.255,2208403456,2208404479
BZ,131.161.148.0,131.161.151.255,2208404480,2208405503
AR,131.161.152.0,131.161.155.255,2208405504,2208406527
BR,131.161.156.0,131.161.159.255,2208406528,2208407551
BR,131.161.160.0,131.161.163.255,2208407552,2208408575
BR,131.161.164.0,131.161.167.255,2208408576,2208409599
BR,131.161.168.0,131.161.171.255,2208409600,2208410623
BR,131.161.172.0,131.161.175.255,2208410624,2208411647
BR,131.161.176.0,131.161.179.255,2208411648,2208412671
BR,131.161.180.0,131.161.183.255,2208412672,2208413695
AR,131.161.184.0,131.161.187.255,2208413696,2208414719
BR,131.161.188.0,131.161.191.255,2208414720,2208415743
BR,131.161.192.0,131.161.195.255,2208415744,2208416767
BR,131.161.196.0,131.161.199.255,2208416768,2208417791
CL,131.161.200.0,131.161.203.255,2208417792,2208418815
BR,131.161.204.0,131.161.207.255,2208418816,2208419839
BR,131.161.208.0,131.161.211.255,2208419840,2208420863
BR,131.161.212.0,131.161.215.255,2208420864,2208421887
BR,131.161.216.0,131.161.219.255,2208421888,2208422911
BR,131.161.220.0,131.161.223.255,2208422912,2208423935
BR,131.161.224.0,131.161.227.255,2208423936,2208424959
BR,131.161.228.0,131.161.231.255,2208424960,2208425983
AR,131.161.232.0,131.161.235.255,2208425984,2208427007
AR,131.161.236.0,131.161.239.255,2208427008,2208428031
BR,131.161.240.0,131.161.243.255,2208428032,2208429055
MX,131.161.244.0,131.161.247.255,2208429056,2208430079
BR,131.161.248.0,131.161.251.255,2208430080,2208431103
PY,131.161.252.0,131.161.255.255,2208431104,2208432127
MX,131.178.0.0,131.178.255.255,2209480704,2209546239
AR,131.221.0.0,131.221.3.255,2212298752,2212299775
DO,131.221.4.0,131.221.7.255,2212299776,2212300799
HN,131.221.8.0,131.221.11.255,2212300800,2212301823
BR,131.221.12.0,131.221.15.255,2212301824,2212302847
AR,131.221.16.0,131.221.19.255,2212302848,2212303871
BR,131.221.20.0,131.221.23.255,2212303872,2212304895
PA,131.221.24.0,131.221.27.255,2212304896,2212305919
TT,131.221.28.0,131.221.31.255,2212305920,2212306943
CL,131.221.32.0,131.221.35.255,2212306944,2212307967
BR,131.221.36.0,131.221.39.255,2212307968,2212308991
CO,131.221.40.0,131.221.43.255,2212308992,2212310015
BR,131.221.44.0,131.221.47.255,2212310016,2212311039
BR,131.221.48.0,131.221.51.255,2212311040,2212312063
BR,131.221.52.0,131.221.55.255,2212312064,2212313087
BR,131.221.56.0,131.221.59.255,2212313088,2212314111
BR,131.221.60.0,131.221.63.255,2212314112,2212315135
AR,131.221.64.0,131.221.67.255,2212315136,2212316159
BR,131.221.68.0,131.221.71.255,2212316160,2212317183
BR,131.221.72.0,131.221.75.255,2212317184,2212318207
BR,131.221.76.0,131.221.79.255,2212318208,2212319231
BR,131.221.80.0,131.221.83.255,2212319232,2212320255
BR,131.221.84.0,131.221.87.255,2212320256,2212321279
